CITY;PRICES;PER CAPITA
Penápolis;868916;14845,90
Pereira Barreto;408691;16374,50
Pereiras;102981;13789,61
Peruíbe;644496;10778,79
Piacatu;62564;11833,61
Piedade;590603;11311,20
Pilar do Sul;243008;9201,01
Pindamonhangaba;3819871;25979,51
Pindorama;191426;12725,27
Pinhalzinho;134625;10273,59
Piquerobi;38867;10976,17
Piquete;89748;6361,93
Piracaia;256957;10221,43
Piracicaba;12251552;33577,67
Piraju;338858;11894,35
Pirajuí;212821;9365,47
Pirangi;131705;12398,14
Pirapora do Bom Jesus;322044;20477,15
Pirapozinho;434505;17578,48
Pirassununga;1482695;21139,68
Piratininga;102192;8465,21
Pitangueiras;671371;19011,46
Planalto;150895;33742,28
Platina;47156;14773,33
Poá;3999148;37716,07
Poloni;84866;15730,44
Pompéia;706205;35375,70
Pongaí;42995;12358,53
Pontal;663139;16477,55
Pontalinda;38996;9571,85
Pontes Gestal;106736;42305,19
Populina;62213;14731,99
Porangaba;81151;9738,50
Porto Feliz;875420;17897,14
Porto Ferreira;1128896;21959,98
Potim;110256;5679,51
Potirendaba;307156;19876,81
Pracinha;15679;5476,58
Pradópolis;352492;20253,49
Praia Grande;3242172;12433,12
Pratânia;73890;16066,63
Presidente Alves;37964;9207,95
Presidente Bernardes;142907;10551,31
Presidente Epitácio;636218;15395,84
Presidente Prudente;4295528;20688,88
Presidente Venceslau;403076;10631,05
Promissão;1410601;39525,91
Quadra;72465;22393,52
Quatá;286031;22297,38
Queiroz;160014;56985,12
Queluz;108623;9591,48
Quintana;68749;11442,83
Rafard;172886;20047,07
Rancharia;552374;19197,64
Redenção da Serra;32108;8277,39
Regente Feijó;373775;20208,43
Reginópolis;58906;8041,84
Registro;978135;18020,50
Restinga;111929;16992,46
Ribeira;22510;6703,25
Ribeirão Bonito;148831;12270,66
Ribeirão Branco;154392;8449,65
Ribeirão Corrente;63594;14882,75
Ribeirão do Sul;64168;14374,58
Ribeirão dos Índios;21430;9798,70
Ribeirão Grande;205126;27648,72
Ribeirão Pires;1813097;16039,00
Ribeirão Preto;17544632;28993,93
Rifaina;127080;36984,77
Rincão;121786;11694,41
Rinópolis;100457;10111,38
Rio Claro;5611830;30122,70
Rio das Pedras;801235;27153,15
Rio Grande da Serra;380911;8640,57
Riolândia;104817;9912,73
Riversul;31463;5103,54
Rosana;823117;41801,70
