;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Cunha;   111 543;    5099,34;   120 355;    5527,71;   139 974;    6455,78;   167 291;    7518,35;;;;;
Descalvado;   741 886;    23890,95;   909 010;    29116,27;   954 205;    30409,04;  1 056 514;    32413,37;;;;;
Diadema;  10 931 728;    28317,68;  11 978 356;    30826,29;  12 321 425;    31514,21;  13 428 069;    33015,67;;;;;
Dirce Reis;   24 290;    14381,28;   26 204;    15459,52;   34 766;    20462,45;   42 997;    24430,19;;;;;
Divinolândia;   114 169;    10185,46;   130 046;    11667,46;   188 314;    16986,66;   206 323;    17780,32;;;;;
Dobrada;   57 416;    7230,28;   57 957;    7234,70;   63 794;    7895,28;   81 632;    9681,23;;;;;
Dois Córregos;   401 836;    16223,99;   511 763;    20525,53;   540 370;    21528,69;   523 836;    20050,38;;;;;
Dolcinópolis;   22 688;    10824,57;   24 451;    11687,77;   28 213;    13512,07;   31 653;    14735,86;;;;;
Dourado;   125 527;    14584,31;   153 455;    17822,90;   199 007;    23113,48;   248 081;    27924,50;;;;;
Dracena;   665 866;    15391,12;   741 114;    17048,85;   834 545;    19108,08;   956 944;    21103,16;;;;;
Duartina;   122 090;    9965,72;   142 219;    11624,87;   157 954;    12928,01;   182 096;    14469,25;;;;;
Dumont;   103 883;    12757,37;   123 441;    14901,17;   149 601;    17765,29;   161 693;    18220,93;;;;;
Echaporã;   77 854;    12322,50;   92 311;    14701,57;   95 308;    15268,75;   113 150;    17710,20;;;;;
Eldorado;   187 673;    12814,81;   174 842;    11910,22;   214 072;    14544,90;   106 389;    6981,79;;;;;
Elias Fausto;   434 825;    27527,54;   431 120;    27080,40;   434 023;    27025,06;   478 003;    28517,08;;;;;
Elisiário;   40 771;    13067,58;   42 638;    13484,58;   51 302;    16021,96;   55 025;    16381,50;;;;;
Embaúba;   32 451;    13392,88;   34 989;    14464,32;   31 498;    13042,58;   37 769;    15192,51;;;;;
Embu das Artes;  4 893 617;    20389,48;  5 867 449;    24172,74;  6 781 516;    27662,95;  8 106 457;    31635,32;;;;;
Embu-Guaçu;   629 580;    10017,82;   708 392;    11205,37;   767 434;    12056,53;   866 632;    13076,70;;;;;
Emilianópolis;   36 530;    12080,06;   37 865;    12496,72;   41 412;    13622,39;   42 537;    13508,09;;;;;
Engenheiro Coelho;   288 150;    18331,30;   344 091;    21295,39;   365 320;    22033,75;   351 645;    19888,28;;;;;
Espírito Santo do Pinhal;   872 230;    20807,51;   993 758;    23651,33;  1 152 891;    27369,64;  1 238 170;    28391,23;;;;;
Espírito Santo do Turvo;   76 426;    17999,48;   69 773;    16271,58;   63 642;    14697,84;   74 098;    16375,21;;;;;
Estiva Gerbi;   188 650;    18782,38;   203 216;    20048,97;   184 049;    18001,66;   207 827;    19479,56;;;;;
Estrela d'Oeste;   266 005;    32408,05;   264 752;    32267,10;   370 072;    45125,22;   427 714;    50569,15;;;;;
Estrela do Norte;   35 363;    13289,25;   38 637;    14519,77;   40 272;    15122,69;   41 533;    15092,05;;;;;
Euclides da Cunha Paulista;   54 905;    5728,24;   64 794;    6793,92;   75 858;    7992,61;   96 483;    9917,04;;;;;
Fartura;   162 388;    10596,96;   172 858;    11265,50;   205 539;    13375,33;   238 190;    14990,88;;;;;
Fernando Prestes;   84 379;    15247,45;   102 874;    18562,67;   112 132;    20203,95;   133 840;    23333,29;;;;;
