Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
355130;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,491;0,671;0,773
355140;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,428;0,596;0,686
355150;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,513;0,612;0,729
355160;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,575;0,704;0,767
355170;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,551;0,692;0,761
355180;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,447;0,546;0,673
355190;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,465;0,638;0,715
355200;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,419;0,574;0,678
355210;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,477;0,63;0,729
355220;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,579;0,721;0,798
355230;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,495;0,649;0,747
355240;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,506;0,658;0,762
355250;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,529;0,662;0,765
355255;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,446;0,591;0,699
355260;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,483;0,658;0,735
355270;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,449;0,606;0,704
355280;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,562;0,689;0,769
355290;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,47;0,621;0,723
355300;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,46;0,611;0,709
355310;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,421;0,62;0,71
355320;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,552;0,697;0,76
355330;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,5;0,621;0,731
355340;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,531;0,668;0,748
355350;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35045;Piedade;0,446;0,579;0,681
355360;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,462;0,643;0,751
355365;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,468;0,627;0,759
355370;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,515;0,664;0,748
355380;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,42;0,591;0,701
355385;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,351;0,498;0,679
355390;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,487;0,611;0,726
355395;35;SP;Sudeste;3510;Assis;35039;Assis;0,469;0,654;0,753
355400;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,54;0,672;0,752
355410;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35050;SÒo JosÚ dos Campos;0,6;0,734;0,8
355420;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,336;0,54;0,668
355430;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,485;0,625;0,741
355440;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,484;0,609;0,749
355450;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,557;0,698;0,778
355460;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,396;0,593;0,71
355465;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,492;0,575;0,714
355470;35;SP;Sudeste;3506;Piracicaba;35026;Rio Claro;0,546;0,667;0,744
355475;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,356;0,571;0,722
355480;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35050;SÒo JosÚ dos Campos;0,563;0,705;0,785
355490;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,491;0,646;0,753
355495;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,391;0,604;0,728
355500;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,562;0,691;0,771
355510;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,566;0,713;0,769
355520;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,519;0,67;0,751
355530;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,522;0,653;0,736
355535;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,368;0,596;0,7
355540;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35054;Caraguatatuba;0,518;0,633;0,751
355550;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,391;0,586;0,727
355560;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,529;0,652;0,721
355570;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,472;0,597;0,749
355580;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,485;0,655;0,746
355590;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,494;0,645;0,712
355600;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35008;Novo Horizonte;0,519;0,686;0,745
