"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"188","SP",3516408,"Franco da Rocha",11.52,20.928
"189","SP",3516507,"Gabriel Monteiro",27.658,15.006
"190","SP",3516606,"G<U+00E1>lia",50.611,26.647
"191","SP",3516705,"Gar<U+00E7>a",31.248,14.367
"192","SP",3516804,"Gast<U+00E3>o Vidigal",35.468,19.578
"193","SP",3516853,"Gavi<U+00E3>o Peixoto",13.054,21.505
"194","SP",3516903,"General Salgado",20.922,23.723
"195","SP",3517000,"Getulina",37.81,25.465
"196","SP",3517109,"Glic<U+00E9>rio",26.982,23.877
"197","SP",3517208,"Guai<U+00E7>ara",35.821,20.227
"198","SP",3517307,"Guaimb<U+00EA>",34.042,29.678
"199","SP",3517406,"Gua<U+00ED>ra",13.943,15
"200","SP",3517505,"Guapia<U+00E7>u",13.931,11.556
"201","SP",3517604,"Guapiara",57.131,55.334
"202","SP",3517703,"Guar<U+00E1>",20.275,24.133
"203","SP",3517802,"Guara<U+00E7>a<U+00ED>",33.483,21.099
"204","SP",3517901,"Guaraci",26.992,19.786
"205","SP",3518008,"Guarani d'Oeste",37.023,24.976
"206","SP",3518107,"Guarant<U+00E3>",44.308,32.243
"207","SP",3518206,"Guararapes",22.086,17.072
"208","SP",3518305,"Guararema",31.093,21.097
"209","SP",3518404,"Guaratinguet<U+00E1>",17.631,14.576
"210","SP",3518503,"Guare<U+00ED>",38.815,25.558
"211","SP",3518602,"Guariba",18.798,20.597
"212","SP",3518701,"Guaruj<U+00E1>",17.957,16.852
"213","SP",3518800,"Guarulhos",10.93,16.914
"214","SP",3518859,"Guatapar<U+00E1>",14.53,23.469
"215","SP",3518909,"Guzol<U+00E2>ndia",48.817,29.946
"216","SP",3519006,"Hercul<U+00E2>ndia",39.488,29.162
"217","SP",3519055,"Holambra",13.193,6.156
"218","SP",3519071,"Hortol<U+00E2>ndia",12.973,16.609
"219","SP",3519105,"Iacanga",23.939,14.474
"220","SP",3519204,"Iacri",44.707,27.301
"221","SP",3519253,"Iaras",41.999,28.379
"222","SP",3519303,"Ibat<U+00E9>",12.047,15.724
"223","SP",3519402,"Ibir<U+00E1>",19.213,18.39
"224","SP",3519501,"Ibirarema",29.292,20.274
"225","SP",3519600,"Ibitinga",14.171,11.602
"226","SP",3519709,"Ibi<U+00FA>na",37.056,25.775
"227","SP",3519808,"Ic<U+00E9>m",17,21.098
