;CITY;CLASS
985;MONTE APRAZIVEL;3
986;BROTAS;1
987;MONTE APRAZIVEL;3
988;SANTA CRUZ DO RIO PARDO;1
989;IGUAPE;1
990;PARANAPANEMA;1
991;ARARAQUARA;3
992;SANTOS;2
993;MONTE CASTELO;1
994;BOTUCATU;1
995;IGARAPAVA;1
996;LIMEIRA;2
997;RINOPOLIS;1
998;TEODORO SAMPAIO;1
999;TATUI;3
1000;CAIUA;1
1001;CAMPINAS;2
1002;APIAI;1
1003;JERIQUARA;1
1004;POMPEIA;1
1005;PRAIA GRANDE;3
1006;EMBAUBA;1
1007;MAIRINQUE;2
1008;RIBEIRAO BRANCO;1
1009;MOGI GUACU;1
1010;BURITIZAL;1
1011;NAZARE PAULISTA;3
1012;PANORAMA;1
1013;SANTO ANTONIO DO ARACANGUA;1
1014;CANDIDO MOTA;1
1015;AURIFLAMA;1
1016;RIO CLARO;3
1017;GUARARAPES;1
1018;MARTINOPOLIS;1
1019;SAO BERNARDO DO CAMPO;2
1020;ITATINGA;1
1021;PEDRA BELA;3
1022;SETE BARRAS;1
1023;ITAJU;1
1024;ITAI;1
1025;GUAIRA;1
1026;SAO SIMAO;1
1027;LARANJAL PAULISTA;3
1028;PARIQUERA-ACU;1
1029;SAO JOAO DA BOA VISTA;1
1030;SAO JOAQUIM DA BARRA;3
1031;ALTINOPOLIS;1
1032;IGUAPE;1
1033;GUARACI;1
1034;ITAPETININGA;1
1035;PIRACAIA;1
