;CITY;HDI;SCORE
14791;PALMARES PAULISTA;0,722;2
14792;PALMEIRA D'OESTE;0,753;2
14793;PALMITAL;0,746;2
14794;PANORAMA;0,722;2
14795;PARAGUAÇU PAULISTA;0,762;2
14796;PARAIBUNA;0,719;2
14797;PARAÍSO;0,749;2
14798;PARANAPANEMA;0,717;2
14799;PARANAPUÃ;0,732;2
14800;PARAPUÃ;0,737;2
14801;PARDINHO;0,727;2
14802;PARIQUERA-AÇU;0,736;2
14803;PARISI;0,721;2
14804;PATROCÍNIO PAULISTA;0,73;2
14805;PAULICÉIA;0,711;2
14806;PAULÍNIA;0,795;2
14807;PAULISTÂNIA;0,718;2
14808;PAULO DE FARIA;0,725;2
14809;PEDERNEIRAS;0,739;2
14810;PEDRA BELA;0,677;3
14811;PEDRANÓPOLIS;0,742;2
14812;PEDREGULHO;0,715;2
14813;PEDREIRA;0,769;2
14814;PEDRINHAS PAULISTA;0,774;2
14815;PEDRO DE TOLEDO;0,696;3
14816;PENÁPOLIS;0,759;2
14817;PEREIRA BARRETO;0,766;2
14818;PEREIRAS;0,736;2
14819;PERUÍBE;0,749;2
14820;PIACATU;0,732;2
14821;PIEDADE;0,716;2
14822;PILAR DO SUL;0,69;3
14823;PINDAMONHANGABA;0,773;2
14824;PINDORAMA;0,737;2
14825;PINHALZINHO;0,725;2
14826;PIQUEROBI;0,711;2
14827;PIQUETE;0,757;2
14828;PIRACAIA;0,739;2
14829;PIRACICABA;0,785;2
14830;PIRAJU;0,758;2
14831;PIRAJUÍ;0,749;2
14832;PIRANGI;0,756;2
14833;PIRAPORA DO BOM JESUS;0,727;2
14834;PIRAPOZINHO;0,776;2
14835;PIRASSUNUNGA;0,801;1
14836;PIRATININGA;0,779;2
14837;PITANGUEIRAS;0,723;2
14838;PLANALTO;0,719;2
14839;PLATINA;0,719;2
14840;POÁ;0,771;2
14841;POLONI;0,766;2
14842;POMPÉIA;0,786;2
14843;PONGAÍ;0,755;2
14844;PONTAL;0,725;2
14845;PONTALINDA;0,702;2
14846;PONTES GESTAL;0,732;2
14847;POPULINA;0,714;2
14848;PORANGABA;0,703;2
14849;PORTO FELIZ;0,758;2
14850;PORTO FERREIRA;0,751;2
14851;POTIM;0,697;3
14852;POTIRENDABA;0,747;2
14853;PRACINHA;0,696;3
14854;PRADÓPOLIS;0,733;2
14855;PRAIA GRANDE;0,754;2
14856;PRATÂNIA;0,701;2
14857;PRESIDENTE ALVES;0,735;2
14858;PRESIDENTE BERNARDES;0,757;2
14859;PRESIDENTE EPITÁCIO;0,75;2
14860;PRESIDENTE PRUDENTE;0,806;1
14861;PRESIDENTE VENCESLAU;0,763;2
14862;PROMISSÃO;0,743;2
14863;QUADRA;0,678;3
14864;QUATÁ;0,738;2
14865;QUEIROZ;0,715;2
14866;QUELUZ;0,722;2
14867;QUINTANA;0,732;2
14868;RAFARD;0,745;2
14869;RANCHARIA;0,751;2
